dub_temp,dub_wddir,dub_wdsp,date,dayInMonth,hour,dayOfWeek,dayOfYear,sin_hour,sin_day,cos_hour,cos_day,index,predictedGeneration,rawTemp
5.485039312294845e+16,-6.878149022664105e+18,-1.084328217974589e+16,2022-07-19 06:00:00+00:00,19,6,1,200,1.0,-0.2967128192734901,1.0,-0.2967128192734901,59,3.6601863e+21,
6.1102769541108376e+16,-1.7330116283746808e+18,-4066230817404708.0,2022-07-19 07:00:00+00:00,19,7,1,200,0.9659258262890683,-0.2967128192734901,0.9659258262890683,-0.2967128192734901,60,2.5710043e+21,21.6
6.3660559893991976e+16,-1.4904729196188943e+18,-1.89757438145553e+16,2022-07-19 08:00:00+00:00,19,8,1,200,0.8660254037844387,-0.2967128192734901,0.8660254037844387,-0.2967128192734901,61,8.72043e+20,
6.877614059975919e+16,-6.919608630998427e+18,-4066230817404708.0,2022-07-19 09:00:00+00:00,19,9,1,200,0.7071067811865476,-0.2967128192734901,0.7071067811865476,-0.2967128192734901,62,2.3710923e+21,20.4
7.0481334168348264e+16,-7.151782437670632e+18,-1.3554102724682358e+16,2022-07-19 10:00:00+00:00,19,10,1,200,0.49999999999999994,-0.2967128192734901,0.49999999999999994,-0.2967128192734901,63,3.8616746e+21,
7.133393095264281e+16,-4.1521797746824e+18,-2710820544936473.0,2022-07-19 11:00:00+00:00,19,11,1,200,0.258819045102521,-0.2967128192734901,0.258819045102521,-0.2967128192734901,64,3.1988e+21,19.7
7.019713524025009e+16,-3.4452934525822003e+18,-2.033115408702354e+16,2022-07-19 12:00:00+00:00,19,12,1,200,1.2246467991473532e-16,-0.2967128192734901,1.2246467991473532e-16,-0.2967128192734901,65,2.0881742e+21,
6.536575346258106e+16,-2.831691249234227e+18,-8132461634809416.0,2022-07-19 13:00:00+00:00,19,13,1,200,-0.25881904510252035,-0.2967128192734901,-0.25881904510252035,-0.2967128192734901,66,1.724398e+21,19.6
6.621835024687559e+16,-2.2097971242193897e+18,-3.1174436266769424e+16,2022-07-19 14:00:00+00:00,19,14,1,200,-0.5000000000000001,-0.2967128192734901,-0.5000000000000001,-0.2967128192734901,67,1.3820783e+21,
6.593415131877741e+16,-2.576714657978144e+18,-4.608394926392002e+16,2022-07-19 15:00:00+00:00,19,15,1,200,-0.7071067811865475,-0.2967128192734901,-0.7071067811865475,-0.2967128192734901,68,1.2847906e+21,19.8
6.4797355606384696e+16,-3.0949597621571753e+18,-3.930689790157884e+16,2022-07-19 16:00:00+00:00,19,16,1,200,-0.8660254037844384,-0.2967128192734901,-0.8660254037844384,-0.2967128192734901,69,1.5283801e+21,
6.3092162037795624e+16,-3.2172656067434266e+18,-3.3885256811705896e+16,2022-07-19 17:00:00+00:00,19,17,1,200,-0.9659258262890683,-0.2967128192734901,-0.9659258262890683,-0.2967128192734901,70,1.7148434e+21,19.5
6.138696846920656e+16,-2.837910190484376e+18,-1.89757438145553e+16,2022-07-19 18:00:00+00:00,19,18,1,200,-1.0,-0.2967128192734901,-1.0,-0.2967128192734901,71,1.6572026e+21,
5.2008403841966664e+16,-6.133949053063014e+18,-6.234887253353885e+16,2022-07-19 21:00:00+00:00,19,21,1,200,-0.7071067811865477,-0.2967128192734901,-0.7071067811865477,-0.2967128192734901,72,2.4344137e+21,18.3
4.291403814282495e+16,-5.800199205971719e+18,-8.945707798290357e+16,2022-07-20 00:00:00+00:00,20,0,2,201,0.0,-0.31310704093582625,0.0,-0.31310704093582625,73,3.2726662e+21,
4.007204886184317e+16,-5.920432070141255e+18,-7.996920607562592e+16,2022-07-20 03:00:00+00:00,20,3,2,201,0.7071067811865475,-0.31310704093582625,0.7071067811865475,-0.31310704093582625,74,3.2098742e+21,19.0
3.921945207754863e+16,-5.883118422640365e+18,-8.403543689303062e+16,2022-07-20 06:00:00+00:00,20,6,2,201,1.0,-0.31310704093582625,1.0,-0.31310704093582625,75,3.235907e+21,
4.717702206429763e+16,-6.104927327228989e+18,-1.057220012525224e+17,2022-07-20 09:00:00+00:00,20,9,2,201,0.7071067811865476,-0.31310704093582625,0.7071067811865476,-0.31310704093582625,76,3.2774533e+21,21.3
5.257680169816302e+16,-6.24381701514897e+18,-9.216789852784003e+16,2022-07-20 12:00:00+00:00,20,12,2,201,1.2246467991473532e-16,-0.31310704093582625,1.2246467991473532e-16,-0.31310704093582625,77,3.3791966e+21,
5.399779633865391e+16,-6.206503367648079e+18,-9.08124882553718e+16,2022-07-20 15:00:00+00:00,20,15,2,201,-0.7071067811865475,-0.31310704093582625,-0.7071067811865475,-0.31310704093582625,78,3.409145e+21,23.5
5.2008403841966664e+16,-6.299787486400305e+18,-7.996920607562592e+16,2022-07-20 18:00:00+00:00,20,18,2,201,-1.0,-0.31310704093582625,-1.0,-0.31310704093582625,79,3.423891e+21,
4.234564028662859e+16,-6.237598073898821e+18,-4.87947698088565e+16,2022-07-20 21:00:00+00:00,20,21,2,201,-0.7071067811865477,-0.31310704093582625,-0.7071067811865477,-0.31310704093582625,80,3.4427902e+21,25.7
3.580906494037049e+16,-5.89555630514066e+18,-5.015018008132473e+16,2022-07-21 00:00:00+00:00,21,0,3,202,0.0,-0.3294084822245298,0.0,-0.3294084822245298,81,3.3391278e+21,
3.069348423460328e+16,-5.626068850967564e+18,-4.4728538991451784e+16,2022-07-21 03:00:00+00:00,21,3,3,202,0.7071067811865475,-0.3294084822245298,0.7071067811865475,-0.3294084822245298,82,3.1718787e+21,27.6
3.325127458748688e+16,-5.752520656387248e+18,-4.743935953638826e+16,2022-07-21 06:00:00+00:00,21,6,3,202,1.0,-0.3294084822245298,1.0,-0.3294084822245298,83,3.1254492e+21,
4.376663492711949e+16,-7.332131733924936e+18,-2.981902599430119e+16,2022-07-21 09:00:00+00:00,21,9,3,202,0.7071067811865476,-0.3294084822245298,0.7071067811865476,-0.3294084822245298,84,3.5776418e+21,28.9
4.4619231711414024e+16,-1.3826779379496558e+18,-2.981902599430119e+16,2022-07-21 12:00:00+00:00,21,12,3,202,1.2246467991473532e-16,-0.3294084822245298,1.2246467991473532e-16,-0.3294084822245298,85,2.6426734e+21,
4.8313817776690344e+16,-1.7413035500415455e+18,-2.981902599430119e+16,2022-07-21 15:00:00+00:00,21,15,3,202,-0.7071067811865475,-0.3294084822245298,-0.7071067811865475,-0.3294084822245298,86,8.357348e+20,32.3
