StartTime,	EndTime,	NetImbalanceVolume,	ImbalanceSettlementPrice
2024-06-12T11:30:00, 	2024-06-12T12:00:00, 	12.535, 	145.95
2024-06-12T12:00:00, 	2024-06-12T12:30:00, 	9.056, 	147.41
2024-06-12T12:30:00, 	2024-06-12T13:00:00, 	1.678, 	122.65
2024-06-12T13:00:00, 	2024-06-12T13:30:00, 	-17.065, 	81.52
2024-06-12T13:30:00, 	2024-06-12T14:00:00, 	-20.091, 	76.14
2024-06-12T14:00:00, 	2024-06-12T14:30:00, 	-21.486, 	76.57
2024-06-12T14:30:00, 	2024-06-12T15:00:00, 	-30.046, 	72.59
2024-06-12T15:00:00, 	2024-06-12T15:30:00, 	-23.212, 	81.47
2024-06-12T15:30:00, 	2024-06-12T16:00:00, 	-25.764, 	82.83
2024-06-12T16:00:00, 	2024-06-12T16:30:00, 	-17.005, 	74.51
2024-06-12T16:30:00, 	2024-06-12T17:00:00, 	-9.492, 	91.39
2024-06-12T17:00:00, 	2024-06-12T17:30:00, 	-4.679, 	93.36
2024-06-12T17:30:00, 	2024-06-12T18:00:00, 	-0.444, 	93.99
2024-06-12T18:00:00, 	2024-06-12T18:30:00, 	5.178, 	139.12
2024-06-12T18:30:00, 	2024-06-12T19:00:00, 	11.582, 	147.36
2024-06-12T19:00:00, 	2024-06-12T19:30:00, 	18.35, 	157.81
2024-06-12T19:30:00, 	2024-06-12T20:00:00, 	9.331, 	151.69
2024-06-12T20:00:00, 	2024-06-12T20:30:00, 	0.93, 	119.21
2024-06-12T20:30:00, 	2024-06-12T21:00:00, 	-8.802, 	87.07
2024-06-12T21:00:00, 	2024-06-12T21:30:00, 	-20.312, 	79.36
2024-06-12T21:30:00, 	2024-06-12T22:00:00, 	-33.628, 	53.13
2024-06-12T22:00:00, 	2024-06-12T22:30:00, 	-11.54, 	87.31
2024-06-12T22:30:00, 	2024-06-12T23:00:00, 	7.271, 	144.6
2024-06-12T23:00:00, 	2024-06-12T23:30:00, 	-1.792, 	78.4
2024-06-12T23:30:00, 	2024-06-13T00:00:00, 	6.051, 	144.89
2024-06-13T00:00:00, 	2024-06-13T00:30:00, 	12.426, 	144.9
2024-06-13T00:30:00, 	2024-06-13T01:00:00, 	9.501, 	144.14
2024-06-13T01:00:00, 	2024-06-13T01:30:00, 	1.822, 	130.89
2024-06-13T01:30:00, 	2024-06-13T02:00:00, 	-0.762, 	98.95
2024-06-13T02:00:00, 	2024-06-13T02:30:00, 	-10.484, 	53.86
2024-06-13T02:30:00, 	2024-06-13T03:00:00, 	-12.992, 	48.22
2024-06-13T03:00:00, 	2024-06-13T03:30:00, 	-28.103, 	29.72
2024-06-13T03:30:00, 	2024-06-13T04:00:00, 	-20.069, 	26.92
2024-06-13T04:00:00, 	2024-06-13T04:30:00, 	-22.983, 	27.42
